Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
88,2023-11-17,мужской,social,35‑44 года,83,72,2.58,131.00,19860.00,4.00,1.00,43.00,,,,,,,,,,,
89,2023-11-14,мужской,social,25‑34 года,82,77,4.89,162.00,0.00,1.00,0.00,32.00,,,,,,,,,,,
90,2023-11-10,мужской,social,45-54 года,81,74,2.72,99.00,0.00,3.00,0.00,37.00,,,,,,,,,,,
91,2023-11-30,мужской,social,35‑44 года,80,71,2.85,149.00,11670.00,5.00,1.00,38.00,,,,,,,,,,,
92,2023-11-01,мужской,social,18‑24 года,79,71,3.17,179.00,0.00,2.00,0.00,36.00,,,,,,,,,,,
93,2023-11-09,мужской,social,18‑24 года,79,74,3.08,175.00,0.00,4.00,0.00,39.00,,,,,,,,,,,
94,2023-11-12,мужской,social,35‑44 года,79,75,3.62,173.00,15570.00,5.00,1.00,33.00,,,,,,,,,,,
95,2023-11-05,мужской,social,18‑24 года,78,69,2.65,106.00,43790.00,3.00,1.00,39.00,,,,,,,,,,,
96,2023-11-30,мужской,social,25‑34 года,76,68,3.46,146.00,17860.00,8.00,3.00,33.00,,,,,,,,,,,
97,2023-11-26,мужской,social,35‑44 года,75,73,2.96,212.00,0.00,7.00,0.00,47.00,,,,,,,,,,,
98,2023-11-07,мужской,social,18‑24 года,74,66,3.69,240.00,59370.00,1.00,1.00,36.00,,,,,,,,,,,
99,2023-11-11,мужской,social,18‑24 года,74,66,3.57,241.00,0.00,2.00,0.00,30.00,,,,,,,,,,,
100,2023-11-02,мужской,social,55 лет и старше,73,63,1.93,74.00,0.00,5.00,0.00,46.00,,,,,,,,,,,
101,2023-11-08,женский,social,25‑34 года,73,70,2.99,220.00,0.00,0.00,0.00,45.00,,,,,,,,,,,
102,2023-11-10,мужской,social,18‑24 года,73,65,2.85,173.00,43020.00,4.00,2.00,31.00,,,,,,,,,,,
103,2023-11-04,мужской,social,18‑24 года,72,65,3.21,129.00,25870.00,4.00,1.00,30.00,,,,,,,,,,,
104,2023-11-21,,search,,72,68,2.01,106.00,0.00,8.00,0.00,65.00,,,,,,,,,,,
105,2023-11-05,женский,social,25‑34 года,69,62,3.96,175.00,0.00,2.00,0.00,40.00,,,,,,,,,,,
106,2023-11-03,женский,social,35‑44 года,66,53,3.91,166.00,82166.67,9.00,3.00,41.00,,,,,,,,,,,
107,2023-11-08,мужской,social,55 лет и старше,66,58,3.26,161.00,22705.00,3.00,2.00,41.00,,,,,,,,,,,
108,2023-11-17,мужской,social,18‑24 года,66,56,4.20,208.00,53765.00,4.00,2.00,26.00,,,,,,,,,,,
109,2023-11-19,,search,,66,64,1.61,119.00,34170.00,3.00,1.00,56.00,,,,,,,,,,,
110,2023-11-20,мужской,social,45-54 года,66,58,3.18,113.00,8080.00,3.00,1.00,33.00,,,,,,,,,,,
111,2023-11-28,мужской,social,45-54 года,66,62,2.68,178.00,0.00,1.00,0.00,44.00,,,,,,,,,,,
112,2023-11-19,мужской,social,35‑44 года,65,63,2.97,126.00,0.00,2.00,0.00,35.00,,,,,,,,,,,
113,2023-11-24,мужской,social,45-54 года,64,57,2.77,152.00,60235.00,2.00,2.00,33.00,,,,,,,,,,,
114,2023-11-06,мужской,social,45-54 года,63,55,2.06,100.00,0.00,0.00,0.00,32.00,,,,,,,,,,,
115,2023-11-15,мужской,social,45-54 года,63,54,2.59,146.00,0.00,4.00,0.00,31.00,,,,,,,,,,,
116,2023-11-08,женский,social,35‑44 года,62,52,2.57,76.00,133380.00,4.00,1.00,38.00,,,,,,,,,,,
117,2023-11-09,женский,social,35‑44 года,62,60,2.45,159.00,32920.00,2.00,1.00,42.00,,,,,,,,,,,
118,2023-11-20,мужской,social,35‑44 года,62,54,2.98,150.00,0.00,4.00,0.00,31.00,,,,,,,,,,,
119,2023-11-22,мужской,social,25‑34 года,62,56,5.19,158.00,20606.67,3.00,3.00,19.00,,,,,,,,,,,
120,2023-11-09,женский,social,25‑34 года,61,55,3.87,204.00,17105.00,3.00,2.00,31.00,,,,,,,,,,,
121,2023-11-08,,media,,60,58,1.33,73.00,0.00,0.00,0.00,58.00,,,,,,,,,,,
122,2023-11-21,мужской,social,35‑44 года,60,58,3.62,205.00,0.00,3.00,0.00,21.00,,,,,,,,,,,
123,2023-11-26,,search,,60,58,1.93,99.00,0.00,2.00,0.00,54.00,,,,,,,,,,,
124,2023-11-25,мужской,social,35‑44 года,59,54,3.61,129.00,0.00,2.00,0.00,34.00,,,,,,,,,,,
125,2023-11-03,женский,social,25‑34 года,58,55,2.33,62.00,0.00,2.00,0.00,36.00,,,,,,,,,,,
126,2023-11-27,мужской,social,45-54 года,58,54,2.86,119.00,14370.00,1.00,1.00,31.00,,,,,,,,,,,
127,2023-11-07,женский,social,25‑34 года,57,50,3.07,179.00,0.00,1.00,0.00,28.00,,,,,,,,,,,
128,2023-11-29,мужской,social,45-54 года,57,55,2.75,192.00,0.00,4.00,0.00,35.00,,,,,,,,,,,
129,2023-11-16,мужской,social,45-54 года,56,49,3.66,167.00,123030.00,3.00,1.00,29.00,,,,,,,,,,,
130,2023-11-02,женский,social,35‑44 года,55,50,1.95,79.00,0.00,1.00,0.00,38.00,,,,,,,,,,,
131,2023-11-10,женский,social,35‑44 года,55,43,2.91,181.00,50330.00,4.00,2.00,30.00,,,,,,,,,,,
132,2023-11-20,мужской,social,18‑24 года,55,49,4.55,200.00,0.00,3.00,0.00,22.00,,,,,,,,,,,
133,2023-11-01,женский,social,35‑44 года,54,42,3.28,176.00,70770.00,4.00,1.00,29.00,,,,,,,,,,,
134,2023-11-13,мужской,social,45-54 года,54,48,2.70,150.00,0.00,2.00,0.00,30.00,,,,,,,,,,,
135,2023-11-23,,search,,54,45,2.24,92.00,18735.00,2.00,2.00,44.00,,,,,,,,,,,
136,2023-11-25,мужской,social,18‑24 года,54,40,4.56,294.00,63780.00,2.00,1.00,17.00,,,,,,,,,,,
137,2023-11-08,женский,social,45-54 года,53,44,3.17,170.00,21980.00,5.00,1.00,34.00,,,,,,,,,,,
138,2023-11-09,мужской,social,55 лет и старше,53,45,2.66,104.00,0.00,0.00,0.00,29.00,,,,,,,,,,,
139,2023-11-14,мужской,social,35‑44 года,53,48,3.81,157.00,44970.00,2.00,1.00,26.00,,,,,,,,,,,
140,2023-11-18,,search,,53,49,1.83,173.00,0.00,3.00,0.00,45.00,,,,,,,,,,,
141,2023-11-26,мужской,social,45-54 года,53,47,2.17,223.00,0.00,1.00,0.00,33.00,,,,,,,,,,,
142,2023-11-02,женский,social,45-54 года,52,44,2.17,152.00,0.00,4.00,0.00,31.00,,,,,,,,,,,
143,2023-11-05,женский,social,35‑44 года,52,42,2.56,80.00,3110.00,5.00,1.00,31.00,,,,,,,,,,,
144,2023-11-07,женский,social,35‑44 года,52,41,3.12,115.00,0.00,0.00,0.00,28.00,,,,,,,,,,,
145,2023-11-12,мужской,social,18‑24 года,52,48,3.54,159.00,100020.00,3.00,1.00,25.00,,,,,,,,,,,
146,2023-11-12,мужской,social,45-54 года,52,39,2.42,108.00,0.00,3.00,0.00,17.00,,,,,,,,,,,
147,2023-11-10,женский,social,25‑34 года,51,42,3.02,179.00,0.00,2.00,0.00,23.00,,,,,,,,,,,
148,2023-11-13,мужской,social,18‑24 года,50,49,3.70,175.00,108180.00,3.00,1.00,24.00,,,,,,,,,,,
149,2023-11-18,мужской,social,18‑24 года,50,46,3.60,116.00,38380.00,0.00,1.00,19.00,,,,,,,,,,,
150,2023-11-30,мужской,social,45-54 года,50,50,2.24,106.00,0.00,3.00,0.00,30.00,,,,,,,,,,,
151,2023-11-03,мужской,social,55 лет и старше,49,43,2.69,150.00,0.00,2.00,0.00,28.00,,,,,,,,,,,
152,2023-11-24,,search,,49,43,1.71,127.00,0.00,5.00,0.00,40.00,,,,,,,,,,,
153,2023-11-26,мужской,social,18‑24 года,49,45,3.08,80.00,1680.00,1.00,1.00,22.00,,,,,,,,,,,
154,2023-11-29,мужской,social,18‑24 года,49,43,3.78,159.00,0.00,3.00,0.00,24.00,,,,,,,,,,,
155,2023-11-01,женский,social,25‑34 года,48,41,3.42,209.00,0.00,0.00,0.00,24.00,,,,,,,,,,,
156,2023-11-17,,search,,48,48,1.42,86.00,35270.00,1.00,1.00,47.00,,,,,,,,,,,
157,2023-11-08,женский,media,55 лет и старше,47,42,1.32,109.00,0.00,0.00,0.00,42.00,,,,,,,,,,,
158,2023-11-16,женский,social,25‑34 года,47,42,2.96,171.00,0.00,3.00,0.00,26.00,,,,,,,,,,,
159,2023-11-03,женский,social,45-54 года,46,39,1.85,214.00,107185.00,2.00,2.00,25.00,,,,,,,,,,,
160,2023-11-09,женский,social,18‑24 года,46,44,2.22,82.00,0.00,2.00,0.00,25.00,,,,,,,,,,,
161,2023-11-15,мужской,social,18‑24 года,46,45,4.33,178.00,116480.00,2.00,1.00,19.00,,,,,,,,,,,
162,2023-11-28,мужской,social,55 лет и старше,46,41,2.83,173.00,0.00,3.00,0.00,33.00,,,,,,,,,,,
163,2023-11-28,женский,social,35‑44 года,46,44,2.48,108.00,0.00,4.00,0.00,32.00,,,,,,,,,,,
164,2023-11-01,мужской,social,55 лет и старше,45,40,2.51,122.00,0.00,1.00,0.00,26.00,,,,,,,,,,,
165,2023-11-01,женский,social,45-54 года,45,39,2.60,124.00,0.00,3.00,0.00,32.00,,,,,,,,,,,
166,2023-11-08,женский,social,18‑24 года,45,43,2.44,137.00,19650.00,3.00,1.00,28.00,,,,,,,,,,,
167,2023-11-11,мужской,social,45-54 года,45,44,2.38,122.00,78770.00,1.00,1.00,26.00,,,,,,,,,,,
168,2023-11-23,мужской,social,18‑24 года,45,40,2.58,86.00,0.00,1.00,0.00,20.00,,,,,,,,,,,
169,2023-11-25,мужской,social,45-54 года,45,41,2.62,122.00,55485.00,2.00,2.00,21.00,,,,,,,,,,,
170,2023-11-27,женский,social,35‑44 года,45,42,2.62,73.00,0.00,5.00,0.00,26.00,,,,,,,,,,,
171,2023-11-09,женский,social,45-54 года,44,29,2.86,213.00,0.00,1.00,0.00,22.00,,,,,,,,,,,
172,2023-11-11,,search,,44,43,1.57,41.00,64370.00,3.00,1.00,41.00,,,,,,,,,,,
173,2023-11-21,женский,social,25‑34 года,44,36,5.11,296.00,0.00,5.00,0.00,20.00,,,,,,,,,,,
174,2023-11-24,женский,social,25‑34 года,44,39,2.98,171.00,70600.00,4.00,2.00,21.00,,,,,,,,,,,
175,2023-11-14,мужской,social,45-54 года,43,42,3.37,192.00,0.00,3.00,0.00,21.00,,,,,,,,,,,
176,2023-11-16,мужской,social,18‑24 года,43,39,2.72,173.00,0.00,0.00,0.00,19.00,,,,,,,,,,,
177,2023-11-19,мужской,social,45-54 года,43,38,2.16,88.00,0.00,0.00,0.00,21.00,,,,,,,,,,,
178,2023-11-05,женский,social,18‑24 года,42,35,2.12,64.00,0.00,1.00,0.00,24.00,,,,,,,,,,,
179,2023-11-05,женский,social,45-54 года,42,32,2.24,127.00,46870.00,5.00,1.00,18.00,,,,,,,,,,,
180,2023-11-16,,search,,42,39,1.31,51.00,0.00,1.00,0.00,35.00,,,,,,,,,,,
181,2023-11-17,мужской,social,45-54 года,42,40,3.36,145.00,26880.00,2.00,1.00,24.00,,,,,,,,,,,
182,2023-11-18,мужской,social,35‑44 года,42,42,2.38,97.00,16170.00,1.00,1.00,23.00,,,,,,,,,,,
183,2023-11-19,мужской,social,18‑24 года,42,39,2.67,101.00,0.00,2.00,0.00,18.00,,,,,,,,,,,
184,2023-11-20,женский,social,25‑34 года,42,36,3.14,109.00,0.00,1.00,0.00,17.00,,,,,,,,,,,
185,2023-11-21,мужской,social,45-54 года,42,38,4.02,266.00,124260.00,2.00,1.00,21.00,,,,,,,,,,,
186,2023-11-04,мужской,social,45-54 года,41,38,4.66,358.00,50840.00,3.00,1.00,18.00,,,,,,,,,,,
187,2023-11-04,женский,social,25‑34 года,41,35,4.37,255.00,79602.50,4.00,4.00,24.00,,,,,,,,,,,
188,2023-11-06,мужской,social,55 лет и старше,41,38,2.49,214.00,37370.00,0.00,1.00,24.00,,,,,,,,,,,
189,2023-11-07,мужской,social,55 лет и старше,41,36,3.59,196.00,0.00,0.00,0.00,24.00,,,,,,,,,,,
190,2023-11-07,женский,social,45-54 года,41,38,2.51,75.00,0.00,0.00,0.00,21.00,,,,,,,,,,,
191,2023-11-10,,search,,41,39,2.63,115.00,0.00,1.00,0.00,38.00,,,,,,,,,,,
192,2023-11-11,женский,social,35‑44 года,40,31,6.33,315.00,42275.00,4.00,2.00,17.00,,,,,,,,,,,
193,2023-11-18,мужской,social,45-54 года,40,36,3.05,111.00,0.00,2.00,0.00,23.00,,,,,,,,,,,
194,2023-11-24,мужской,social,18‑24 года,40,38,3.70,175.00,80265.00,2.00,2.00,17.00,,,,,,,,,,,
195,2023-11-12,,media,,39,38,2.80,153.00,0.00,0.00,0.00,37.00,,,,,,,,,,,
196,2023-11-19,мужской,search,25‑34 года,39,34,2.18,90.00,0.00,5.00,0.00,25.00,,,,,,,,,,,
197,2023-11-20,,search,,39,38,1.54,107.00,0.00,2.00,0.00,35.00,,,,,,,,,,,
198,2023-11-22,мужской,social,35‑44 года,39,37,4.54,192.00,57170.00,3.00,1.00,14.00,,,,,,,,,,,
199,2023-11-23,мужской,social,35‑44 года,39,34,3.33,196.00,0.00,2.00,0.00,21.00,,,,,,,,,,,
200,2023-11-26,женский,social,35‑44 года,39,38,3.59,158.00,0.00,3.00,0.00,29.00,,,,,,,,,,,
201,2023-11-28,мужской,social,18‑24 года,39,34,3.36,58.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
202,2023-11-02,женский,social,55 лет и старше,38,31,2.24,108.00,19180.00,2.00,1.00,28.00,,,,,,,,,,,
203,2023-11-06,женский,social,35‑44 года,38,35,2.95,182.00,91575.00,2.00,2.00,22.00,,,,,,,,,,,
204,2023-11-09,,search,,38,36,1.90,147.00,31380.00,2.00,1.00,33.00,,,,,,,,,,,
205,2023-11-10,мужской,social,55 лет и старше,38,34,2.32,81.00,0.00,0.00,0.00,25.00,,,,,,,,,,,
206,2023-11-14,,search,,38,35,1.82,106.00,32830.00,3.00,1.00,29.00,,,,,,,,,,,
207,2023-11-14,мужской,social,18‑24 года,38,36,4.37,96.00,7740.00,1.00,1.00,17.00,,,,,,,,,,,
208,2023-11-17,женский,social,25‑34 года,38,33,2.53,104.00,67480.00,3.00,1.00,18.00,,,,,,,,,,,
209,2023-11-12,женский,social,25‑34 года,37,34,3.16,167.00,0.00,1.00,0.00,20.00,,,,,,,,,,,
210,2023-11-13,женский,social,25‑34 года,37,33,2.51,65.00,50880.00,3.00,1.00,19.00,,,,,,,,,,,
211,2023-11-21,мужской,social,18‑24 года,37,35,4.57,184.00,0.00,1.00,0.00,16.00,,,,,,,,,,,
